,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
81,Cape Town,-33.9258,18.4232,288.79,87,0,1.03,ZA,1618625982
82,Samarai,-10.6167,150.6667,302.08,75,30,5.54,PG,1618626038
83,Carnarvon,-24.8667,113.6333,300.43,38,0,4.12,AU,1618626051
84,Vardø,70.3705,31.1107,277.64,76,100,13.73,NO,1618625892
85,Mount Isa,-20.7333,139.5,301.15,23,19,8.75,AU,1618626069
86,Whyalla,-33.0333,137.5833,291.15,55,75,4.63,AU,1618626138
87,Castro,-24.7911,-50.0119,288.01,93,100,1.46,BR,1618626043
88,Neryungri,56.6709,124.6491,275.17,75,29,5.67,RU,1618626139
89,Acaraú,-2.8856,-40.12,298.86,87,99,5.21,BR,1618626139
90,Tigil',57.8,158.6667,271.95,82,85,9.49,RU,1618626139
91,Fairbanks,64.8378,-147.7164,281.15,49,1,2.57,US,1618625738
92,Katobu,-4.9408,122.5276,303.65,57,22,1.88,ID,1618626140
93,Amapá,1.0,-52.0,294.17,99,100,1.05,BR,1618626133
94,Lufilufi,-13.8745,-171.5986,305.15,66,40,2.57,WS,1618626083
95,Saldanha,-33.0117,17.9442,290.15,55,0,1.54,ZA,1618626067
96,São Filipe,14.8961,-24.4956,294.89,73,0,3.77,CV,1618626041
97,Ponta Delgada,37.7333,-25.6667,289.15,100,75,3.09,PT,1618626062
98,Jamestown,42.097,-79.2353,276.02,93,90,5.66,US,1618626036
99,Port Lincoln,-34.7333,135.8667,291.15,49,7,2.43,AU,1618626041
100,Bengkulu,-3.8004,102.2655,299.96,77,90,0.49,ID,1618626030
101,Clyde River,70.4692,-68.5914,261.15,79,90,7.72,CA,1618626045
102,Kumul,42.8,93.45,289.61,10,0,5.04,CN,1618626005
103,Yellowknife,62.456,-114.3525,279.15,56,40,3.6,CA,1618626013
104,Iqaluit,63.7506,-68.5145,263.15,73,75,4.12,CA,1618625962
105,Abhā,18.2164,42.5053,289.15,27,0,3.14,SA,1618626142
106,Saint George,37.1041,-113.5841,288.87,31,90,4.63,US,1618625852
107,Bambous Virieux,-20.3428,57.7575,298.93,88,40,2.06,MU,1618626064
108,Champerico,14.3,-91.9167,292.61,97,37,4.11,GT,1618626017
109,Tianpeng,30.9866,103.9393,289.34,88,40,1.0,CN,1618626143
110,Maceió,-9.6658,-35.7353,297.15,94,75,1.54,BR,1618625979
111,Hofn,64.2539,-15.2082,279.2,79,21,10.34,IS,1618626135
112,Ponta do Sol,32.6667,-17.1,284.86,66,8,1.34,PT,1618625867
113,Atuona,-9.8,-139.0333,300.26,75,100,7.67,PF,1618626028
114,Zonianá,35.295,24.8294,294.09,43,40,5.66,GR,1618626144
115,Airai,-8.9266,125.4092,295.84,52,30,2.4,TL,1618626089
116,Kailua,21.4022,-157.7394,296.88,64,90,4.12,US,1618626069
117,Guerrero Negro,27.9769,-114.0611,288.42,74,0,9.2,MX,1618625973
118,Mogadishu,2.0371,45.3438,301.31,71,100,3.55,SO,1618626145
119,Urucará,-2.5364,-57.76,296.6,96,100,1.18,BR,1618626145
120,Aklavik,68.2191,-135.0107,274.2,55,100,1.54,CA,1618626066
121,Esperance,-33.8667,121.9,293.15,56,57,3.6,AU,1618626074
122,Severobaykal'sk,55.65,109.3167,272.81,92,100,0.84,RU,1618626146
123,Seoul,37.5683,126.9778,285.49,35,75,8.23,KR,1618626019
124,Muzhi,65.3667,64.6667,263.78,86,100,2.29,RU,1618626078
125,Värnamo,57.186,14.04,278.15,58,91,0.45,SE,1618626146
126,Kurkino,53.4257,38.6582,280.85,80,61,2.52,RU,1618626147
127,Kenitra,34.261,-6.5802,285.15,100,75,2.26,MA,1618626147
128,Tsaratanana,-16.7833,47.65,295.3,94,21,1.06,MG,1618626147
129,Lebu,-37.6167,-73.65,284.91,87,72,4.3,CL,1618626050
130,Sioux Lookout,50.1001,-91.917,276.15,48,75,2.06,CA,1618626076
131,Verkhoyansk,67.5447,133.385,271.11,72,100,6.76,RU,1618626148
132,Yamachiche,46.2668,-72.8324,279.82,66,100,6.17,CA,1618626148
133,Chumikan,54.7183,135.315,273.95,73,14,1.06,RU,1618625850
134,Nuuk,64.1835,-51.7216,262.15,73,90,1.03,GL,1618625976
135,Mar del Plata,-38.0023,-57.5575,288.19,100,19,1.54,AR,1618625765
136,Gorelki,54.2747,37.6183,281.26,94,58,2.93,RU,1618626150
137,Atar,20.5169,-13.0499,295.71,28,0,4.3,MR,1618626150
138,Ambon City,-3.6954,128.1814,305.15,62,40,3.09,ID,1618626150
139,Cabo San Lucas,22.8909,-109.9124,294.95,60,40,1.54,MX,1618625868
140,Butembo,0.15,29.2833,287.37,90,41,1.3,CD,1618626151
141,Kaberamaido,1.7389,33.1594,292.92,89,11,1.6,UG,1618626151
142,Makkah al Mukarramah,21.4267,39.8261,300.51,47,56,1.21,SA,1618626113
143,Arraial do Cabo,-22.9661,-42.0278,297.19,75,10,8.26,BR,1618625866
144,Vilyuysk,63.7553,121.6247,268.15,80,92,6.04,RU,1618626152
145,Gizo Government Station,-8.103,156.8419,302.27,69,39,2.23,SB,1618626152
146,Coahuayana Viejo,18.7333,-103.6833,295.18,76,0,0.76,MX,1618626152
147,Zavodoukovsk,56.5042,66.5515,274.47,59,1,1.45,RU,1618626153
148,Faanui,-16.4833,-151.75,301.1,71,46,2.46,PF,1618626075
149,Dali,25.7,100.1833,291.31,43,100,2.66,CN,1618626153
150,Yeysk,46.6989,38.2792,280.78,85,45,3.53,RU,1618626153
151,Mt. Pleasant,32.7941,-79.8626,287.48,88,1,0.28,US,1618625931
152,Rio Claro,-22.4114,-47.5614,294.99,73,75,2.06,BR,1618626154
153,Kitob,39.0843,66.8332,285.15,62,29,5.14,UZ,1618625892
154,Kendari,-3.945,122.4989,303.57,57,37,1.5,ID,1618626154
155,Labuhan,-6.8844,112.2051,301.75,72,26,1.62,ID,1618625917
156,Tanete,-3.9443,119.7848,303.41,56,36,3.35,ID,1618626155
157,Lata,40.1629,-8.3327,285.13,84,17,2.07,PT,1618625931
158,Tasiilaq,65.6145,-37.6368,270.15,100,75,14.92,GL,1618626039
159,Payo,-3.7508,103.6372,297.83,95,100,0.99,ID,1618626156
160,Jaca,42.569,-0.5499,277.83,87,75,1.54,ES,1618626156
161,Anchorage,61.2181,-149.9003,281.25,53,1,2.57,US,1618626049
162,Roald,62.5833,6.1333,275.58,69,0,3.6,NO,1618626157
163,Kaseda-shirakame,31.4167,130.3167,288.92,88,75,4.63,JP,1618626157
164,Ericeira,38.9627,-9.4156,284.8,98,100,2.76,PT,1618626157
165,Bagdarin,54.4333,113.6,278.94,42,100,3.69,RU,1618626158
166,Astoria,46.1879,-123.8313,291.45,40,1,3.09,US,1618626158
167,George,-33.963,22.4617,281.15,100,0,1.03,ZA,1618625891
168,Yenagoa,4.9247,6.2642,298.44,86,100,1.4,NG,1618625944
169,San Miguel de Cozumel,20.5083,-86.9458,299.49,78,20,2.06,MX,1618626052
170,Tomatlán,19.9333,-105.25,294.73,63,0,1.33,MX,1618626057
171,Pathein,16.7833,94.7333,301.29,57,18,0.33,MM,1618626159
